id,date,outcome,shots,goals,saves,assists,demos,boost_bpm,avg_speed
176798c0-ec2e-405c-b934-779364518b4f,2025-07-19T14:35:47.740821Z,loss,2,0,0,0,0,417,1591
d65faed1-d45f-43b7-b320-4c68b72d3999,2025-07-19T14:35:43.787772Z,loss,4,3,1,0,1,426,1589
1d253144-fb3b-442d-ba13-9080f310c020,2025-07-19T14:35:40.789438Z,loss,5,3,1,1,1,384,1524
35a444b4-9bb6-4453-8b53-955d507ed929,2025-07-19T14:35:37.706836Z,loss,0,0,1,0,0,415,1518
e416faa2-ebd0-43df-b459-7c4585ff6926,2025-07-19T14:35:35.094143Z,loss,3,1,3,0,1,371,1438
733f411b-83fb-47e6-b577-ba9036158215,2025-07-19T14:35:33.169638Z,loss,3,0,6,0,0,456,1580
5c52d636-1692-4ba6-ab07-29bedad2f00d,2025-07-19T14:35:30.654837Z,win,4,1,2,0,0,376,1521
4b5d3695-3af2-4c32-b5b0-7c144ec7d5b9,2025-07-19T14:35:28.023195Z,win,4,2,2,1,0,415,1480
94472e16-d791-434c-82c5-ee487f252194,2025-07-19T14:28:13.472094Z,win,5,1,1,1,1,399,1519
aea7f47c-f621-4227-9915-5b5b0960af23,2025-07-19T14:28:11.127272Z,win,4,0,0,0,1,424,1624
5c99aa3e-1d0c-4c6e-9d7d-1f18b5751b28,2025-07-19T14:28:08.619796Z,win,2,1,1,1,0,457,1622
29bafc81-9d1f-4644-b88b-c829ad01bba6,2025-07-19T14:28:06.900696Z,loss,0,0,2,0,1,379,1487
e32ea675-ea25-44cc-8214-335bd6a25eb6,2025-07-19T14:28:04.65915Z,win,3,1,2,1,2,447,1630
5f4034be-cb44-4fe4-a98c-7c20cf4cad76,2025-07-19T14:28:02.302805Z,loss,1,0,1,0,0,431,1636
ccc0aa5a-4a2e-4d79-af18-d64cd11b6316,2025-07-19T14:28:00.8106Z,win,5,2,1,1,0,441,1559
6c067f64-30c7-4659-9b24-428ce43e6ff5,2025-07-19T14:27:58.527626Z,loss,2,1,1,0,0,381,1490
